Source,Target,PrimaryKey
identifierHash,identifierHash,Y
type,type,N
country,country,N
language,language,N
socialNbFollowers,socialNbFollowers,N
socialNbFollows,socialNbFollows,N
socialProductsLiked,socialProductsLiked,N
productsListed,productsListed,N
productsSold,productsSold,N
productsPassRate,productsPassRate,N
productsWished,productsWished,N
productsBought,productsBought,N
gender,gender,N
civilityGenderId,civilityGenderId,N
civilityTitle,civilityTitle,N
hasAnyApp,hasAnyApp,N
hasAndroidApp,hasAndroidApp,N
hasIosApp,hasIosApp,N
hasProfilePicture,hasProfilePicture,N
daysSinceLastLogin,daysSinceLastLogin,N
seniority,seniority,N
seniorityAsMonths,seniorityAsMonths,N
seniorityAsYears,seniorityAsYears,N
countryCode,countryCode,N
