inventory_id,sku,warehouse,on_hand,reserved,reorder_point,last_count_date,available
1,SKU-JEGET1GHR0,WH-TX-03,389,118,100,2025-08-06,271
2,SKU-EDTCXNMJ5I,WH-NC-02,19,2,100,2025-03-13,17
3,SKU-IM458AX40D,WH-NJ-01,211,61,100,2025-01-09,150
4,SKU-ZSA7YVDQBS,WH-TX-03,23,31,30,2025-05-15,0
5,SKU-M2XIPRTT3N,WH-NJ-01,90,1,20,2025-07-14,89
6,SKU-CRGB93WKCS,WH-CA-04,450,79,75,2025-10-29,371
7,SKU-D1IVXAN25W,WH-TX-03,215,123,40,2025-02-27,92
8,SKU-Y5KOV1L28R,WH-CA-04,51,80,30,2025-10-11,0
9,SKU-JEDGFJDLOG,WH-TX-03,137,52,30,2025-10-14,85
10,SKU-4FTJ5CCASB,WH-NJ-01,152,139,30,2025-11-04,13
11,SKU-WYZXJQYJV8,WH-CA-04,219,123,100,2025-09-08,96
12,SKU-97PWDBOLWI,WH-NJ-01,465,132,100,2025-04-01,333
13,SKU-OMF9PML9LN,WH-TX-03,361,3,30,2025-07-23,358
14,SKU-NE6IT1EKKH,WH-NJ-01,172,55,75,2025-01-08,117
15,SKU-8ADF7PCHCB,WH-CA-04,461,79,40,2025-04-18,382
16,SKU-O5URTXUYUC,WH-NC-02,0,191,20,2025-08-21,0
17,SKU-YH523GGODL,WH-NC-02,467,44,50,2025-12-08,423
18,SKU-E05QMKTGV4,WH-TX-03,494,187,75,2025-10-01,307
19,SKU-3WFSQG8X80,WH-NC-02,24,147,75,2025-04-30,0
20,SKU-IN3OEUVTYT,WH-TX-03,203,52,50,2025-11-01,151
21,SKU-8LW2LM349E,WH-NJ-01,367,72,50,2025-01-11,295
22,SKU-0IT26YS445,WH-NJ-01,358,15,30,2025-07-02,343
23,SKU-VG3KK0VM59,WH-CA-04,493,92,40,2025-11-05,401
24,SKU-TIRC9ZD76S,WH-CA-04,200,112,75,2025-06-28,88
25,SKU-8QZPKY32OR,WH-NC-02,392,29,75,2025-07-25,363
26,SKU-8F1N2OJGFH,WH-NJ-01,425,19,20,2025-04-02,406
27,SKU-O5URTXUYUC,WH-CA-04,190,105,50,2025-08-15,85
28,SKU-TWDL9ZS13C,WH-NC-02,360,86,50,2025-01-06,274
29,SKU-1T2TALA753,WH-TX-03,408,179,75,2025-12-22,229
30,SKU-AHK2LSLAYM,WH-CA-04,477,35,50,2025-01-12,442
31,SKU-IAAKYTT3IM,WH-CA-04,303,21,30,2025-09-07,282
32,SKU-R4SOR8WM9L,WH-NC-02,438,128,20,2025-07-17,310
33,SKU-RDPXDFOVD7,WH-CA-04,231,20,75,2025-05-07,211
34,SKU-HH5LF6A4FE,WH-NC-02,219,175,100,2025-02-06,44
35,SKU-71HSSBELRQ,WH-CA-04,65,199,20,2025-01-08,0
36,SKU-QIMQODPXNF,WH-NJ-01,472,4,100,2025-06-14,468
37,SKU-X70FQLDB2U,WH-NJ-01,465,119,30,2025-04-30,346
38,SKU-SQT26Q3XLR,WH-NJ-01,23,167,20,2025-08-20,0
39,SKU-79955CF72G,WH-CA-04,81,81,100,2025-08-13,0
40,SKU-UNLPAIH0P4,WH-NC-02,90,78,50,2025-08-21,12
41,SKU-9RR7S20CV3,WH-NJ-01,171,44,75,2025-10-14,127
42,SKU-Z83Y0224WK,WH-TX-03,439,158,20,2025-08-14,281
43,SKU-XAJI0Y6DPB,WH-CA-04,34,142,40,2025-05-25,0
44,SKU-MOTCG06XR3,WH-NC-02,33,57,75,2025-09-07,0
45,SKU-8DT8CQ1XGB,WH-CA-04,485,180,20,2025-09-29,305
46,SKU-LB25485HCQ,WH-NC-02,261,44,75,2025-10-13,217
47,SKU-9XUY41IBLJ,WH-NC-02,176,194,100,2025-02-08,0
48,SKU-R2YKCCPRHV,WH-CA-04,143,169,20,2025-02-13,0
49,SKU-A34MQA78RA,WH-TX-03,214,151,20,2025-02-06,63
50,SKU-MVRYDC1AU9,WH-TX-03,475,37,50,2025-09-13,438
51,SKU-TJQ8ZGVWWU,WH-CA-04,140,50,20,2025-07-30,90
52,SKU-6KF1622VXY,WH-NJ-01,267,23,40,2025-04-02,244
53,SKU-TWDL9ZS13C,WH-NJ-01,138,90,50,2025-01-19,48
54,SKU-ZLMA5UOFWB,WH-NC-02,46,160,40,2025-04-10,0
55,SKU-UHXID4N1U3,WH-NJ-01,59,146,100,2025-05-27,0
56,SKU-J9M4SMZOCX,WH-CA-04,48,24,40,2025-03-10,24
57,SKU-U7ONZ3JBCK,WH-CA-04,51,69,30,2025-05-10,0
58,SKU-GUO8I5JWK6,WH-TX-03,60,48,40,2025-01-25,12
59,SKU-D84U89YJB1,WH-NJ-01,213,16,20,2025-04-25,197
60,SKU-VS41LQFS6H,WH-NJ-01,94,148,75,2025-03-31,0
61,SKU-3QSQCQ30O3,WH-NC-02,119,42,50,2025-10-13,77
62,SKU-N9DL5TGSQ7,WH-CA-04,474,81,50,2025-09-30,393
63,SKU-JCNS6G298C,WH-CA-04,218,149,50,2025-12-07,69
64,SKU-X0PKOVTRPY,WH-CA-04,39,62,75,2025-07-31,0
65,SKU-D1IVXAN25W,WH-TX-03,345,23,40,2025-04-21,322
66,SKU-8T922D0NX5,WH-TX-03,326,32,100,2025-12-14,294
67,SKU-K0GET8T63J,WH-TX-03,458,194,30,2025-03-17,264
68,SKU-7RV4NMWVSB,WH-CA-04,436,16,20,2025-10-23,420
69,SKU-MIH6MV4XEK,WH-CA-04,316,175,100,2025-03-29,141
70,SKU-3SR5RUP13W,WH-NJ-01,405,43,50,2025-06-19,362
71,SKU-JZ99106AK3,WH-CA-04,231,152,20,2025-05-27,79
72,SKU-DBPGVV4ZWL,WH-CA-04,210,199,40,2025-08-28,11
73,SKU-0S9BP4M18O,WH-TX-03,37,106,100,2025-02-24,0
74,SKU-ZBIKCIDKWN,WH-NJ-01,467,98,30,2025-04-02,369
75,SKU-0UBMC97C7B,WH-CA-04,316,187,50,2025-09-10,129
76,SKU-EYUHZ1GV0E,WH-NC-02,210,28,40,2025-06-06,182
77,SKU-63GAGUVB99,WH-TX-03,82,11,100,2025-09-08,71
78,SKU-5PEPL7ZQPP,WH-NC-02,355,99,30,2025-09-21,256
79,SKU-ET0DY571VX,WH-NJ-01,117,126,100,2025-01-08,0
80,SKU-UPFLN4RXYJ,WH-TX-03,302,136,50,2025-11-21,166
81,SKU-TFK7ORFQLA,WH-NJ-01,26,85,40,2025-10-26,0
82,SKU-P9JYQN15IK,WH-CA-04,208,52,20,2025-04-08,156
83,SKU-HC8CAH3GDH,WH-TX-03,401,60,100,2025-02-19,341
84,SKU-PGYVYV2GQU,WH-NJ-01,124,158,75,2025-08-01,0
85,SKU-RH2XK2PTHO,WH-NJ-01,275,112,50,2025-01-04,163
86,SKU-U7ONZ3JBCK,WH-NJ-01,491,47,30,2025-12-30,444
87,SKU-S0R778NRXV,WH-NC-02,297,107,30,2025-10-19,190
88,SKU-7S55J2O7S3,WH-TX-03,296,78,75,2025-08-29,218
89,SKU-ETUK1OOA35,WH-NJ-01,71,46,75,2025-01-19,25
90,SKU-EK0Q929U6W,WH-TX-03,57,160,40,2025-09-27,0
91,SKU-H75LXO6QJI,WH-CA-04,295,66,75,2025-10-31,229
92,SKU-9K9XJUY0BV,WH-CA-04,458,63,50,2025-11-24,395
93,SKU-ZC7FOV2YGN,WH-NJ-01,118,121,100,2025-07-20,0
94,SKU-8BIXOIQ2Q4,WH-TX-03,413,144,75,2025-04-14,269
95,SKU-38XRG2GZR7,WH-NJ-01,395,43,50,2025-11-27,352
96,SKU-39PECN0DL5,WH-NJ-01,373,4,20,2025-12-30,369
97,SKU-PHR62GDSWM,WH-NC-02,61,93,75,2025-03-23,0
98,SKU-O5URTXUYUC,WH-TX-03,445,189,20,2025-11-15,256
99,SKU-2OHKBM00E9,WH-NC-02,86,190,100,2025-02-24,0
100,SKU-JKIBU4FMPK,WH-NJ-01,325,78,30,2025-10-15,247
101,SKU-3ZKWDEEKGY,WH-NC-02,98,38,100,2025-08-24,60
102,SKU-K1DJRWEDBC,WH-NC-02,398,199,75,2025-06-13,199
103,SKU-0P82KB700U,WH-NC-02,123,169,30,2025-12-31,0
104,SKU-HZBGTJ5469,WH-CA-04,485,101,100,2025-03-26,384
105,SKU-JTGQ01TEE1,WH-CA-04,475,91,20,2025-08-07,384
106,SKU-IYZVNLPA5C,WH-NC-02,6,20,30,2025-12-28,0
107,SKU-4QDBXVH7KA,WH-TX-03,133,174,20,2025-08-01,0
108,SKU-8MTK0RSOGG,WH-CA-04,282,73,40,2025-07-22,209
109,SKU-JPZTC09ZGN,WH-NC-02,1,27,100,2025-11-09,0
110,SKU-JKIBU4FMPK,WH-NJ-01,389,148,100,2025-10-27,241
111,SKU-486I3CE8ZN,WH-CA-04,316,112,20,2025-08-30,204
112,SKU-CRGB93WKCS,WH-NJ-01,159,27,40,2025-06-11,132
113,SKU-LEMX15Z8VM,WH-NC-02,156,85,30,2025-06-28,71
114,SKU-FM8ZOV7LN2,WH-NC-02,225,101,20,2025-04-02,124
115,SKU-YLEMRUYP04,WH-NC-02,320,18,40,2025-05-18,302
116,SKU-0WFOY4DD1V,WH-NJ-01,142,62,20,2025-04-22,80
117,SKU-NOG85D4F2K,WH-CA-04,393,115,50,2025-06-18,278
118,SKU-TN9UZERYF0,WH-NC-02,265,179,100,2025-11-17,86
119,SKU-ARAGDX5O31,WH-TX-03,265,37,50,2025-04-11,228
120,SKU-F7ZK94YXFI,WH-NC-02,36,45,30,2025-10-23,0
121,SKU-6DDFGS3JON,WH-CA-04,287,151,50,2025-07-12,136
122,SKU-9MX2X18HAF,WH-CA-04,291,91,100,2025-12-24,200
123,SKU-X1F8S0X7M2,WH-TX-03,319,172,75,2025-07-26,147
124,SKU-EF0VOTQTXH,WH-NC-02,472,8,40,2025-10-13,464
125,SKU-NZ3A8V4X7Y,WH-CA-04,398,8,100,2025-08-04,390
126,SKU-JY62ZEEQNS,WH-CA-04,72,20,100,2025-08-16,52
127,SKU-2M0W10LBT3,WH-CA-04,15,23,75,2025-12-27,0
128,SKU-A34MPYO2TL,WH-NJ-01,360,94,50,2025-02-12,266
129,SKU-RHT7ZEWVIY,WH-CA-04,82,191,30,2025-06-30,0
130,SKU-G1VED32LX2,WH-CA-04,173,92,75,2025-12-13,81
131,SKU-IYM90PKR1I,WH-NJ-01,377,39,100,2025-10-13,338
132,SKU-DSAV917RMP,WH-NC-02,427,179,30,2025-10-24,248
133,SKU-TP6QAQ3K8A,WH-TX-03,75,131,20,2025-02-13,0
134,SKU-P49KWV08HH,WH-NJ-01,290,130,100,2025-02-06,160
135,SKU-8T922D0NX5,WH-NJ-01,380,140,75,2025-09-06,240
136,SKU-LI6978V0BJ,WH-NJ-01,50,20,20,2025-03-24,30
137,SKU-TQVDZ4X1ZH,WH-CA-04,362,7,75,2025-09-14,355
138,SKU-K9TR74QGEF,WH-NC-02,185,119,40,2025-08-05,66
139,SKU-5OL5U7NTED,WH-NC-02,4,109,30,2025-01-10,0
140,SKU-Y8FV2BC2NN,WH-NC-02,421,128,20,2025-08-26,293
141,SKU-6Z1T2XCB3Y,WH-TX-03,261,13,50,2025-01-26,248
142,SKU-U6PY06FTLO,WH-NC-02,178,75,75,2025-09-08,103
143,SKU-N9DL5TGSQ7,WH-TX-03,141,35,100,2025-08-03,106
144,SKU-NAVYCS44PH,WH-CA-04,431,149,20,2025-05-25,282
145,SKU-G1ZHQUNUE7,WH-NC-02,267,116,75,2025-11-16,151
146,SKU-OM2ZKF5B1S,WH-TX-03,113,163,75,2025-08-10,0
147,SKU-XXVA2IEUC1,WH-CA-04,469,44,75,2025-11-20,425
148,SKU-ZIRNK6ZHH3,WH-CA-04,492,143,20,2025-01-18,349
149,SKU-74X2EK3ZEZ,WH-TX-03,179,10,20,2025-12-05,169
150,SKU-UOV6TT9Q1N,WH-CA-04,488,66,75,2025-08-16,422
151,SKU-109DCNWMBX,WH-CA-04,369,97,50,2025-08-24,272
152,SKU-PCWE4C1V47,WH-NC-02,67,152,100,2025-12-12,0
153,SKU-VWY3RZTPLC,WH-TX-03,106,89,30,2025-10-03,17
154,SKU-PWBSF3Q0E2,WH-CA-04,58,194,75,2025-05-01,0
155,SKU-ZP08J3TRP0,WH-NJ-01,273,158,50,2025-03-03,115
156,SKU-WQ1GAZ5UH8,WH-NJ-01,436,112,30,2025-11-27,324
157,SKU-U2GC5WI6FQ,WH-CA-04,30,192,75,2025-07-06,0
158,SKU-ES6M033IFH,WH-NC-02,34,89,30,2025-01-25,0
159,SKU-F33GUWYH36,WH-NJ-01,259,88,75,2025-12-05,171
160,SKU-SRYO4RCB1K,WH-NC-02,8,10,20,2025-04-06,0
161,SKU-UK9E1V2ISQ,WH-CA-04,108,79,75,2025-11-17,29
162,SKU-4LAV71448N,WH-TX-03,142,83,75,2025-07-12,59
163,SKU-FM8ZOV7LN2,WH-CA-04,41,105,75,2025-09-11,0
164,SKU-S74NDDAFS1,WH-CA-04,186,115,75,2025-03-08,71
165,SKU-6WKTAKPUXQ,WH-NJ-01,84,165,50,2025-11-10,0
166,SKU-IZASNWYWRR,WH-TX-03,351,1,40,2025-02-09,350
167,SKU-YWD14VE92M,WH-NC-02,200,53,50,2025-08-12,147
168,SKU-3VOB5APO4L,WH-NC-02,367,92,50,2025-12-22,275
169,SKU-2M44GV3Z6B,WH-TX-03,287,6,20,2025-08-10,281
170,SKU-VFX2ZVL9E9,WH-NC-02,335,176,75,2025-04-13,159
171,SKU-Y8NYFWDC11,WH-NJ-01,300,39,50,2025-11-14,261
172,SKU-PUU62RZV1S,WH-CA-04,260,44,30,2025-09-05,216
173,SKU-QERXDOUADV,WH-NC-02,489,181,75,2025-06-11,308
174,SKU-ES6M033IFH,WH-NJ-01,158,188,20,2025-09-21,0
175,SKU-3R30ME8F84,WH-NC-02,152,131,100,2025-01-25,21
