order_id,customer_id,order_date,channel,subtotal,discount,tax,total
100000,530,2025-06-18,Mobile,163.44,0,13.89,177.33
100001,90,2025-01-25,Mobile,55.84,5,5.2,56.04
100002,693,2025-11-23,Mobile,80.26,5,6.53,81.79
100003,255,2024-11-22,Web,98.9,5,7.6,101.5
100004,455,2024-04-17,Web,112.04,0,7.92,119.96
100005,253,2024-06-10,Web,107.77,5,7.16,109.93
100006,257,2025-03-27,Web,133.6,0,8.8,142.4
100007,383,2024-07-24,Web,139.41,0,10.96,150.37
100008,442,2025-08-12,Mobile,141.93,20,11.89,133.82
100009,858,2024-01-16,Web,167.76,0,13.51,181.27
100010,599,2024-11-22,Web,55.39,0,3.26,58.65
100011,90,2025-08-30,Web,57.14,10,4.13,51.27
100012,749,2025-10-20,Web,203.36,0,17.41,220.77
100013,390,2024-01-02,Store,71.64,5,5.12,71.76
100014,582,2024-01-10,Store,90.68,0,6.72,97.4
100015,44,2025-03-09,Mobile,84.5,0,7.16,91.66
100016,712,2024-05-04,Web,400.16,0,31.92,432.08
100017,664,2024-03-21,Mobile,47.45,0,3.25,50.7
100018,598,2025-04-29,Store,46.65,0,4.21,50.86
100019,19,2025-10-13,Mobile,99.16,5,5.68,99.84
100020,101,2024-05-29,Web,86.4,0,8.19,94.59
100021,914,2024-12-05,Mobile,35.52,15,1.97,22.49
100022,607,2024-05-08,Store,93.04,0,4.71,97.75
100023,766,2025-03-13,Mobile,101.25,0,9.12,110.37
100024,357,2025-05-15,Mobile,65.85,5,4.02,64.87
100025,542,2024-02-27,Web,88.78,15,7.35,81.13
100026,761,2024-07-16,Mobile,51.62,0,4.46,56.08
100027,938,2024-07-29,Web,35.6,5,3.16,33.76
100028,33,2024-02-14,Mobile,71.2,10,6.74,67.94
100029,970,2024-04-06,Web,41.03,0,2.59,43.62
100030,229,2024-10-05,Web,29.27,10,2.4,21.67
100031,524,2025-06-18,Web,14.19,0,0.78,14.97
100032,630,2025-02-13,Mobile,117.91,5,8.05,120.96
100033,862,2025-04-05,Web,69.26,15,6.11,60.37
100034,155,2025-01-25,Mobile,204.18,5,13.59,212.77
100035,423,2024-02-13,Mobile,74.06,0,5.67,79.73
100036,905,2024-01-27,Web,117.49,0,8.54,126.03
100037,246,2024-04-06,Web,58.41,15,4.62,48.03
100038,405,2025-07-01,Web,96.84,0,9.08,105.92
100039,844,2025-09-12,Store,14.32,0,0.75,15.07
100040,759,2025-07-20,Mobile,70.34,5,5.33,70.67
100041,541,2025-12-04,Web,47.72,0,4.24,51.96
100042,161,2024-08-06,Web,190.2,0,13.63,203.83
100043,747,2024-07-03,Mobile,112.03,0,6.0,118.03
100044,702,2024-03-09,Store,172.37,0,12.97,185.34
100045,117,2024-05-09,Store,219.43,5,14.25,228.68
100046,271,2025-07-20,Mobile,65.71,5,3.74,64.45
100047,770,2025-08-31,Web,108.53,0,9.57,118.1
100048,692,2025-08-21,Web,37.56,10,2.76,30.32
100049,487,2025-09-22,Web,130.59,10,12.01,132.6
100050,885,2025-12-20,Web,144.37,5,12.45,151.82
100051,172,2024-11-29,Web,124.27,0,10.09,134.36
100052,950,2024-06-02,Web,65.64,5,3.3,63.94
100053,274,2025-06-30,Web,311.74,0,21.59,333.33
100054,259,2024-03-19,Store,101.05,5,5.95,102.0
100055,135,2025-08-01,Mobile,37.77,5,3.44,36.21
100056,683,2025-02-16,Store,154.07,0,8.91,162.98
100057,722,2025-06-29,Mobile,194.07,15,12.2,191.27
100058,748,2025-08-31,Web,38.48,0,2.82,41.3
100059,422,2024-06-17,Mobile,81.39,5,5.03,81.42
100060,421,2025-11-11,Web,26.1,0,1.55,27.65
100061,186,2025-10-24,Mobile,225.07,15,17.32,227.39
100062,929,2025-08-05,Web,92.31,0,4.98,97.29
100063,364,2025-05-29,Partner,47.91,0,2.52,50.43
100064,955,2024-11-09,Web,195.77,0,13.07,208.84
100065,607,2024-02-01,Web,98.97,0,8.16,107.13
100066,378,2024-10-13,Store,177.84,0,13.33,191.17
100067,523,2025-08-16,Web,136.56,5,9.43,140.99
100068,580,2024-02-12,Mobile,42.29,0,3.19,45.48
100069,891,2025-09-08,Mobile,63.81,0,4.24,68.05
100070,722,2024-01-01,Store,49.09,0,4.52,53.61
100071,196,2025-07-26,Partner,35.38,10,1.86,27.24
100072,881,2024-09-26,Partner,19.5,5,1.57,16.07
100073,98,2024-06-28,Web,352.73,5,31.78,379.51
