sku,product_name,category,brand,unit_price,active
SKU-XAJI0Y6DPB,NoiseBuds-B,Wearables,Contoso,1942.82,False
SKU-HSAHXTHV3A,ChargeCable-C,Audio,Umbrella,720.72,True
SKU-3ZMF8MDD4V,NoiseBuds-A,Phones,Initech,813.11,True
SKU-30T9NT3W5U,AirSpeaker-B,Tablets,Initech,1810.72,True
SKU-ZBIKCIDKWN,TabPro-C,Accessories,Umbrella,323.33,True
SKU-NHJ7XVG0FN,PowerBrick-A,Laptops,Umbrella,62.02,True
SKU-9XUY41IBLJ,TabPro-D,Phones,Acme,1817.32,True
SKU-H75LXO6QJI,AirSpeaker-E,Wearables,Acme,1643.25,True
SKU-UJV6OH9SDB,ChargeCable-C,Audio,Globex,1944.33,False
SKU-DW2PCN9T84,ChargeCable-A,Wearables,Globex,121.13,True
SKU-AZYTJXEPQ8,PowerBrick-B,Audio,Globex,316.42,True
SKU-5JSG65KXVF,PowerBrick-A,Audio,Contoso,214.99,True
SKU-1T2TALA753,FitBand-B,Phones,Initech,1367.73,True
SKU-LC58DRC11E,ZenBook-E,Laptops,Contoso,1213.38,True
SKU-RTJ5PHT0HL,ZenBook-E,Accessories,Umbrella,721.51,True
SKU-9XPSEIMVIH,FitBand-A,Laptops,Acme,119.5,True
SKU-CWI64CIYHE,ZenBook-A,Tablets,Umbrella,1280.49,True
SKU-7UR23GDPPQ,TabPro-B,Laptops,Umbrella,1141.82,True
SKU-0Y9DOM5IGQ,FitBand-B,Audio,Acme,230.13,True
SKU-PKI7P5TB94,FitBand-C,Audio,Umbrella,1817.37,True
SKU-874FRHOCN9,ZenBook-C,Tablets,Globex,401.71,True
SKU-J2QP89UZFK,AlphaPhone-C,Wearables,Acme,1487.56,True
SKU-8UT0CVS4F8,PowerBrick-A,Audio,Umbrella,1769.84,True
SKU-CGVYIE6IVW,ZenBook-C,Tablets,Globex,1160.47,True
SKU-PVS7HZIOYK,NoiseBuds-A,Audio,Globex,497.22,False
SKU-L1CQ99CHJ7,AlphaPhone-E,Accessories,Initech,621.64,True
SKU-55NF4ZW9XA,FitBand-D,Audio,Globex,1771.18,True
SKU-3KX7EEDTJV,AlphaPhone-E,Phones,Contoso,599.72,True
SKU-ZHWJR64DPJ,TabPro-A,Tablets,Acme,1492.9,True
SKU-A1WJ0TPAC5,ChargeCable-A,Laptops,Acme,1979.39,True
SKU-6T4UFEL624,AlphaPhone-D,Tablets,Acme,1998.63,True
SKU-6HID25OWF7,NoiseBuds-B,Wearables,Umbrella,1068.76,True
SKU-5935A0L725,ChargeCable-B,Audio,Umbrella,1653.15,True
SKU-3J2D54I3QK,TabPro-B,Tablets,Contoso,1979.56,False
SKU-2IAGL58KXO,NoiseBuds-C,Accessories,Globex,752.1,True
SKU-9T7E8G8JDP,AirSpeaker-B,Tablets,Umbrella,508.3,True
SKU-0LVSNUJZA7,ChargeCable-C,Accessories,Globex,232.78,True
SKU-TZ0YNCXLL4,AirSpeaker-C,Audio,Globex,285.95,True
SKU-ZKLOOKEP7Y,TabPro-B,Laptops,Umbrella,1706.99,True
SKU-6WKTAKPUXQ,ChargeCable-B,Audio,Umbrella,1178.91,True
SKU-PHR62GDSWM,ChargeCable-D,Wearables,Contoso,1747.18,True
SKU-31YIHAIR4C,ZenBook-D,Phones,Initech,1579.17,True
SKU-OWGZRIXA11,NoiseBuds-C,Laptops,Acme,1348.45,True
SKU-DPG8SBI4Q2,PowerBrick-D,Laptops,Umbrella,1219.97,True
SKU-Y9V86WZS3T,NoiseBuds-C,Phones,Umbrella,101.39,True
SKU-60RJIW1SWJ,AlphaPhone-A,Tablets,Globex,1744.32,True
SKU-CKJLTEIYZC,AirSpeaker-C,Audio,Initech,838.18,True
SKU-OTOHP6VZ41,AirSpeaker-C,Tablets,Umbrella,1121.21,True
SKU-NAM148P0TV,NoiseBuds-D,Tablets,Initech,48.78,True
SKU-HHPBMYOFQE,NoiseBuds-A,Audio,Acme,1871.53,True
SKU-WAOUAXEQBN,ChargeCable-E,Wearables,Globex,1805.06,True
SKU-HL1N13JCAT,AirSpeaker-E,Laptops,Contoso,1088.3,True
SKU-9MX2X18HAF,FitBand-E,Accessories,Acme,1156.16,True
SKU-EYUHZ1GV0E,PowerBrick-A,Phones,Initech,1410.8,True
SKU-38DALY8OZC,ZenBook-B,Laptops,Initech,532.8,True
SKU-YWD14VE92M,PowerBrick-A,Tablets,Acme,447.5,True
SKU-PNSM43D8W3,AlphaPhone-D,Phones,Initech,1349.0,True
SKU-ZP08J3TRP0,PowerBrick-C,Accessories,Contoso,213.22,True
SKU-J43D5IQVNB,ZenBook-C,Laptops,Contoso,910.4,True
SKU-4GH2M5ZJA8,AlphaPhone-D,Laptops,Initech,987.56,True
SKU-DZR1YXR2DH,TabPro-D,Wearables,Initech,765.39,True
SKU-YLURTP0LZJ,ChargeCable-C,Laptops,Contoso,374.42,False
SKU-JEGET1GHR0,NoiseBuds-B,Laptops,Initech,713.5,True
SKU-9SKDGIGATJ,NoiseBuds-B,Accessories,Umbrella,678.09,True
SKU-9TZE5R5UQP,FitBand-B,Accessories,Globex,1000.54,True
SKU-GB7R3OCWBF,PowerBrick-D,Phones,Umbrella,1350.31,True
SKU-UK9E1V2ISQ,AirSpeaker-C,Tablets,Initech,1935.66,True
SKU-P49KWV08HH,AirSpeaker-C,Accessories,Initech,292.46,False
SKU-XFGCAQVKIZ,ZenBook-C,Phones,Globex,1745.8,True
SKU-ZQY72WX7PT,ZenBook-A,Laptops,Initech,571.65,True
SKU-X63CFL0UKE,ZenBook-A,Phones,Globex,1184.2,True
SKU-YZ7SRCBPLJ,AirSpeaker-E,Phones,Contoso,1095.19,True
SKU-D84U89YJB1,NoiseBuds-A,Phones,Globex,1115.56,True
SKU-QX6GVWRDML,AirSpeaker-B,Audio,Globex,1447.38,True
SKU-Y4LYK83TQL,ZenBook-B,Phones,Umbrella,766.09,True
SKU-L8OS9XTOGN,ChargeCable-B,Accessories,Initech,641.29,True
SKU-1W1HT7PZE9,AlphaPhone-B,Audio,Contoso,1705.55,True
SKU-VIFTTD96QE,NoiseBuds-E,Tablets,Acme,443.87,True
SKU-3RZSJ49ITN,ChargeCable-B,Phones,Globex,364.41,False
SKU-7S55J2O7S3,TabPro-D,Wearables,Acme,36.12,True
SKU-KKV9RFTMTT,PowerBrick-D,Laptops,Initech,424.89,True
SKU-QLGZUI1B0Z,ChargeCable-D,Laptops,Globex,1038.95,True
SKU-3NX39RBSV5,PowerBrick-A,Audio,Acme,1078.79,True
SKU-5PSQ0OXFQ8,ChargeCable-C,Laptops,Umbrella,512.31,True
SKU-MYX444NLZ1,TabPro-E,Laptops,Acme,149.11,True
SKU-5BCW790PDW,ChargeCable-D,Audio,Umbrella,1489.81,True
SKU-5PY6B2KNFT,AlphaPhone-D,Laptops,Contoso,1516.4,True
SKU-U2GC5WI6FQ,NoiseBuds-B,Phones,Initech,1994.69,True
SKU-JJA26YFPMV,PowerBrick-D,Tablets,Acme,1799.66,True
SKU-XPJ4HNRIUU,FitBand-B,Audio,Globex,1851.57,True
SKU-9K9XJUY0BV,AirSpeaker-B,Wearables,Initech,1596.62,True
SKU-R6K2VMWWYZ,TabPro-C,Audio,Acme,1232.31,True
SKU-X4W6XLPU0D,PowerBrick-A,Accessories,Globex,261.32,True
SKU-K0GET8T63J,NoiseBuds-B,Wearables,Globex,1245.89,True
SKU-3R30ME8F84,ZenBook-B,Accessories,Globex,116.58,True
SKU-0982N2ATQY,PowerBrick-C,Audio,Globex,1770.29,True
SKU-YV37DIA5U6,AlphaPhone-B,Accessories,Acme,965.75,True
SKU-HC36KOF8KR,FitBand-E,Wearables,Contoso,1395.76,True
