event_id,user_id,session_id,event_time,event_type,page,referrer
EVT-F10OO1PVLND5,306,SES-4YL1W9JPKP,2025-10-12 09:30:39,click,/account,email
EVT-81LTO4RQ3Q7G,2996,SES-F3UZ3AOEAO,2025-10-03 19:04:59,add_to_cart,/cart,email
EVT-KTMQG6NX9OWW,3709,SES-EULTMD3BPE,2025-10-29 13:30:47,page_view,/home,google
EVT-EW9V08LIUQDN,2215,SES-QPRVILAP1J,2025-12-16 06:02:35,add_to_cart,/account,email
EVT-05XT54FN5G77,4149,SES-55CUK5X6G2,2025-10-28 13:37:49,click,/support,email
EVT-LK6HQIV929SE,1210,SES-KRT47Z0A69,2025-08-04 02:56:41,page_view,/account,email
EVT-VL7FQ8ABY595,276,SES-0Q5N5KXQHX,2025-08-30 01:06:57,scroll,/cart,bing
EVT-CPJZE1XTAR0K,147,SES-TDQY89FIQ0,2025-12-17 18:55:45,click,/products,direct
EVT-O31NZSXPEFJ3,3549,SES-FCUZLZOO0A,2025-09-20 09:07:30,click,/cart,bing
EVT-1EGOM62HDXC6,4726,SES-HWY423PACE,2025-12-25 12:59:47,page_view,/checkout,google
EVT-RIJKQ2ZUV1FK,1954,SES-2F346ZSSJN,2025-12-19 11:40:10,page_view,/account,affiliate
EVT-HNNK8FWRPK0Z,852,SES-J8TH1PQUA2,2025-12-09 19:47:24,search,/products,google
EVT-FKNWBHKVJZ09,4524,SES-F9TO0WZN4X,2025-11-20 02:12:53,add_to_cart,/account,google
EVT-OWGMF4LN5RGS,488,SES-J765VA97KZ,2025-10-17 08:18:33,click,/product,affiliate
EVT-G6A8MLIK22XM,1554,SES-B5FW1DUHBX,2025-08-27 03:42:36,search,/support,direct
EVT-Q66442SIHXOD,1762,SES-6ADLOR2TYZ,2025-10-27 14:24:53,click,/home,direct
EVT-LCTT058CUIJ0,3184,SES-C5HSSX0BJC,2025-12-16 18:25:33,click,/checkout,bing
EVT-YXIYQBVTDG3C,584,SES-KJCO6MY4GW,2025-11-26 08:46:22,page_view,/checkout,direct
EVT-6SCIVUQT2LWH,4712,SES-DSHLLSHWA7,2025-08-07 05:52:15,click,/home,direct
EVT-EDHTHRUU5E51,4311,SES-SLKD4QJD7B,2025-11-23 13:51:54,page_view,/cart,social
EVT-H3WQA1VRGSS8,4606,SES-52XOVYXHZP,2025-10-31 11:32:57,page_view,/home,google
EVT-K5IJULP98RL9,511,SES-DSO9SPDU3N,2025-10-29 21:33:28,scroll,/home,direct
EVT-QFCPK7PWTG21,4122,SES-M0SXFC5Z5L,2025-10-21 03:30:24,page_view,/cart,direct
EVT-HSLTDKVUFF12,3814,SES-9HGMTVPPFN,2025-08-13 05:37:27,page_view,/account,direct
EVT-4VF89X22J7Q4,2241,SES-NIIX1SKNXD,2025-10-11 04:18:27,page_view,/product,google
EVT-KFMM0QPOP1O8,2151,SES-6ZMBYTJPTV,2025-10-30 18:03:45,page_view,/support,direct
EVT-M291AZHZKNL2,3203,SES-H31A2MF3G1,2025-12-20 04:45:51,page_view,/home,social
EVT-LUHHS4DILRZQ,343,SES-PUXJCN0CL5,2025-11-13 08:58:35,page_view,/cart,google
EVT-8BXY6RKVNDXJ,1424,SES-NKDI2QG6TU,2025-09-13 08:38:24,click,/checkout,direct
EVT-N7DE0L1OFFKH,3868,SES-Q54X1I5482,2025-10-23 08:24:58,click,/home,direct
EVT-DIU1JTKA1C2Z,4396,SES-Q78E5SFE0X,2025-08-28 09:59:13,add_to_cart,/support,google
EVT-L46Q5GQQLYZJ,146,SES-7H2CPCC3ZK,2025-08-23 16:12:44,scroll,/account,direct
EVT-0AEOORBT6SAP,2818,SES-GYR58MX4YQ,2025-08-12 15:43:01,click,/account,google
EVT-BS22RUW0U92T,4558,SES-Q14267YURN,2025-12-30 16:53:57,page_view,/home,social
EVT-24D7V911PJQ5,916,SES-ZP1OQKV0N4,2025-09-20 04:51:01,page_view,/account,google
EVT-0XCXMSY3PAUA,4920,SES-H2AWNF3KEY,2025-11-16 12:16:59,add_to_cart,/product,direct
EVT-3AIPJIYLQX1U,1912,SES-YN2W8G4U1I,2025-12-28 21:28:58,click,/product,email
EVT-M55F1HGAV42T,3702,SES-WAAYRIBERX,2025-10-01 03:45:01,page_view,/checkout,direct
EVT-8LLIHKPJ7HME,1340,SES-E6L0DCZ6PB,2025-08-26 03:04:30,page_view,/product,direct
EVT-6P4NP00NQOHN,2247,SES-BOUZY46V57,2025-09-27 00:27:06,add_to_cart,/account,direct
EVT-3DG60E1ERV0L,3918,SES-HLSZM6VDUQ,2025-12-21 21:29:06,click,/support,social
EVT-G92MJEQA2O4M,2952,SES-DJI6SOW4YI,2025-10-07 17:56:09,click,/checkout,social
EVT-84P4K9DXOQ8J,498,SES-F5D9REXPFS,2025-08-06 10:56:54,page_view,/account,direct
EVT-XLFIUEFZ1C25,2949,SES-LTJ669REA3,2025-11-19 08:01:00,click,/home,google
EVT-XNOFG7803G5D,791,SES-Y0XAOBK02L,2025-12-08 08:27:40,add_to_cart,/cart,direct
EVT-FRLW6JL2L5B5,4201,SES-VUMHF5OX05,2025-08-24 16:39:30,search,/product,bing
EVT-6BNVSFA6D9ER,10,SES-ZHI646NZ3H,2025-09-04 15:09:44,add_to_cart,/checkout,direct
EVT-94TEVWLQ6EXN,3099,SES-A6CBB3VCPE,2025-09-16 17:51:26,click,/product,direct
EVT-WZR04HHE7ICD,2817,SES-A74TBS9IZK,2025-08-31 19:31:49,click,/product,email
EVT-O5DIGXL9YSU5,327,SES-M5VGYWI7ZW,2025-10-28 10:30:12,click,/products,direct
EVT-1EPXU7B6NBHG,3567,SES-PD1OTXS3FE,2025-10-15 12:46:17,page_view,/home,direct
EVT-FB2FLURMW3UQ,883,SES-WSM91KQZJQ,2025-11-26 11:41:28,search,/product,email
EVT-HWTEK17M6J3R,1672,SES-AMZC39BMTH,2025-12-08 03:13:50,click,/cart,email
EVT-TXYMSCNX8EIQ,738,SES-2I5P7VWKFU,2025-11-12 11:41:15,click,/support,bing
EVT-ETK5LP9C5SO7,2175,SES-90FPI90MB0,2025-09-28 17:17:24,scroll,/products,social
EVT-9H4HA0MVF4S2,924,SES-ORR5SR5ET3,2025-11-04 02:48:20,scroll,/checkout,google
EVT-NI8TNDFWW41F,4267,SES-H7PSXMDX52,2025-10-02 18:07:22,click,/checkout,direct
EVT-7V4K88K686QE,4483,SES-F7GFPPSYAZ,2025-12-23 08:05:03,page_view,/cart,direct
EVT-7AJUL7W8COF3,2825,SES-HXDO3GTXYZ,2025-09-23 09:28:16,page_view,/cart,direct
EVT-138I2XOG4C8J,1154,SES-8AKV3UDLWR,2025-12-03 19:20:59,search,/support,direct
EVT-6E07FPY1AELD,2071,SES-FLVRKTGU8T,2025-12-27 21:36:06,page_view,/home,google
EVT-WQXKE0QC96MJ,4601,SES-L777K1D8NR,2025-08-22 03:16:47,scroll,/cart,direct
EVT-9N6EQV5Y21ID,921,SES-UU8F855MDT,2025-12-03 15:45:23,page_view,/checkout,google
EVT-9VVN5X48PW5K,3483,SES-CE9SB5MBZG,2025-11-05 09:42:31,click,/home,direct
EVT-0JJSP49CD3IR,1444,SES-JZG8U6MQBI,2025-11-24 04:17:07,click,/cart,google
EVT-VXD2ZU4NS7NV,4508,SES-AFHE0FWCS4,2025-08-29 00:02:33,page_view,/cart,bing
EVT-V28UE1MY6PO0,2802,SES-BJU8OXM9F4,2025-12-27 15:12:14,search,/account,google
EVT-M24US73W1YAU,1776,SES-OHEUN5A8XA,2025-08-02 17:43:33,click,/checkout,direct
EVT-A8D7204J3M9I,29,SES-EJGNZFZUNQ,2025-09-11 18:25:51,page_view,/home,affiliate
EVT-QBQ9J2H1TLOM,2293,SES-2W9ZL5Y31K,2025-09-21 00:18:39,page_view,/products,email
EVT-344MW04I3DZX,3704,SES-88NO1RBN62,2025-09-07 16:50:12,add_to_cart,/products,google
EVT-LRGNJZM3618L,826,SES-NK7HLCNPTT,2025-12-09 23:21:15,page_view,/support,google
EVT-EU6ZU1TOZHDV,3742,SES-3M5H0JHK0I,2025-12-31 10:32:13,search,/home,google
EVT-5OJZTO7D835K,139,SES-7MTPFORPOK,2025-10-16 18:32:25,page_view,/cart,direct
EVT-UC9PBTYJR39I,4453,SES-LF43RSASVI,2025-12-21 17:43:30,page_view,/cart,direct
EVT-IXHAIAW4OTUO,2260,SES-1X1VH3JI9P,2025-11-13 22:22:01,page_view,/home,google
EVT-4UW590Z92JN6,1163,SES-VMTM12LC9B,2025-08-10 08:20:22,page_view,/products,google
EVT-7LM8E49ITE92,3440,SES-GJQ0AQK711,2025-11-28 07:36:12,page_view,/support,direct
EVT-SRL3VZZXT9QU,2534,SES-UZQ6RF8LW7,2025-12-05 21:41:41,scroll,/account,direct
EVT-BWRP8GUUCM5F,1360,SES-Y8AUBPM9DB,2025-11-22 07:33:55,page_view,/account,direct
EVT-YCZU80ZRZ79H,2226,SES-EZA9AGULM5,2025-10-08 18:29:33,page_view,/product,social
EVT-QTYLU58FTYLA,2561,SES-FQJYYIIR41,2025-11-17 19:07:49,page_view,/checkout,direct
EVT-VZME9WT00IV1,3673,SES-G20DFXUJ5O,2025-09-13 22:52:13,click,/home,direct
EVT-GGXRED8U8NOZ,2161,SES-GQJT4NGYDB,2025-08-20 07:58:38,add_to_cart,/support,google
EVT-EMDMZ5RGOI9W,283,SES-NIGZMK8J19,2025-11-15 20:24:00,add_to_cart,/product,google
EVT-M1SAV9CNG8TA,1140,SES-23WVLCX7MM,2025-11-27 22:56:15,page_view,/checkout,google
EVT-NA6U48GWGHM5,1798,SES-1HQB1EG4OH,2025-11-17 04:19:15,click,/product,google
EVT-6VU6Z5GF3BBT,4137,SES-PN9FDLR8Z1,2025-08-08 20:16:33,click,/product,google
EVT-873LKMGS6RV9,2980,SES-01JD1BJE9X,2025-09-12 08:44:48,click,/checkout,email
EVT-777TNQETMNI3,1191,SES-OAWCUD3I2I,2025-12-16 05:14:23,page_view,/product,direct
EVT-GOM6736Z4DSX,1245,SES-WMC07LBLWV,2025-09-10 06:11:45,add_to_cart,/products,google
EVT-LSUTOTHLQH7P,4409,SES-F36ZPI288H,2025-12-10 10:06:14,page_view,/support,affiliate
EVT-PCADUVL911ZS,1931,SES-23TU8LM7XX,2025-12-10 01:26:43,page_view,/home,direct
EVT-B8LV6TX0TBKG,2519,SES-CN3ON4FG0D,2025-08-24 16:59:42,page_view,/account,direct
EVT-8B350SGNZ6D8,48,SES-JQ1PQVCZKA,2025-08-21 08:49:27,page_view,/support,direct
EVT-6ZCHHXA7HY7A,134,SES-KJ6SZXI5N6,2025-12-16 10:29:32,page_view,/account,direct
EVT-I33993N4BFIY,3047,SES-DBXF9REXLO,2025-09-15 15:27:00,click,/products,direct
EVT-5PU5WH50JYOO,2365,SES-YEYQE6836H,2025-11-29 04:38:19,search,/products,direct
EVT-K63RVWOZQXIW,3510,SES-FEPYDBSIWF,2025-09-13 08:58:13,click,/account,direct
EVT-E6RGL7JY7OTK,3507,SES-VIUCLHQ2EA,2025-11-08 06:13:45,page_view,/checkout,google
EVT-UDE358TRE9QD,2134,SES-ESQAXMVW0N,2025-09-02 23:23:01,add_to_cart,/checkout,direct
EVT-I3G13IWPFVB7,4095,SES-HJLA9A1N3I,2025-11-02 22:59:24,add_to_cart,/checkout,email
EVT-1GHLU8M87MHX,2538,SES-RW50LMBVSQ,2025-09-05 09:31:22,page_view,/product,email
EVT-OFKCGGXP5CIT,2472,SES-OI2JVZHOYY,2025-12-31 14:08:02,click,/product,google
EVT-UF8CYOTWG7NF,2435,SES-KCZF2TDCIT,2025-08-13 19:05:21,add_to_cart,/account,affiliate
EVT-DINU31EIWUCX,4336,SES-EGB1DINDLF,2025-08-14 04:53:42,page_view,/home,bing
EVT-67XKWQ0YWM9Q,3523,SES-DTTNIBTH05,2025-09-19 01:30:55,page_view,/product,email
EVT-7FTMFWG895NA,2306,SES-YS0WI4IUYD,2025-10-07 09:54:52,page_view,/home,direct
EVT-2FQZTIO4M7PP,4140,SES-7RINA0VLRR,2025-08-01 01:53:16,scroll,/products,email
EVT-0PNNLO0HHGH5,1811,SES-BAEJZ286QP,2025-08-03 16:15:34,page_view,/home,social
EVT-XW6T1OXHFDXK,664,SES-JN22Y4LGQT,2025-12-10 06:13:43,page_view,/home,direct
EVT-31WBHTFNSGPY,3055,SES-CD21W2KJNV,2025-08-14 07:30:07,click,/checkout,bing
EVT-NYJ0UFO2HOQ5,4850,SES-FOM3VQRIQY,2025-10-28 13:22:01,search,/product,email
EVT-E7L7W05Y2DA5,4201,SES-E1SOFPVOEO,2025-11-11 13:57:41,page_view,/cart,direct
EVT-B4L6HFH4N6V3,3493,SES-37PHANHDT4,2025-12-03 22:04:05,add_to_cart,/cart,google
EVT-RZKDU6FOTWFT,954,SES-RK9FFY71KN,2025-10-06 07:41:32,click,/checkout,direct
EVT-Q9Y69XFQ1ENN,1674,SES-CKONRHHKYC,2025-08-07 13:04:09,click,/support,direct
EVT-GAY37VG688U5,1343,SES-Q2YGYNKIV9,2025-08-08 22:55:42,purchase,/support,direct
EVT-95CEKOF92Y8L,3492,SES-0H7JAJLTUV,2025-09-13 05:12:01,page_view,/support,google
EVT-Z8CV2A6PG4GK,2743,SES-67HT2IBTRV,2025-12-13 21:00:58,search,/products,google
EVT-S6R6BILQPB01,2105,SES-XOI41UG82Z,2025-09-17 09:27:06,purchase,/products,social
EVT-QCTE9W0AN6NB,240,SES-8EXRCLIC6B,2025-10-01 01:15:01,search,/products,google
