order_item_id,order_id,sku,quantity,unit_price,line_total
1,100332,SKU-NOG85D4F2K,1,1028.35,1028.35
2,100309,SKU-CIFLWDR3VW,1,44.26,44.26
3,100726,SKU-4LMCT64Z7W,1,834.14,834.14
4,100419,SKU-ZWKXXJVE3D,4,689.76,2759.04
5,100608,SKU-HC8CAH3GDH,4,1177.58,4710.32
6,100724,SKU-050UI22KX7,3,691.82,2075.46
7,100353,SKU-WYZXJQYJV8,2,911.44,1822.88
8,100823,SKU-EK0Q929U6W,4,60.21,240.84
9,100099,SKU-8EKXDRKZ40,5,1664.78,8323.9
10,100144,SKU-9RR7S20CV3,4,1850.22,7400.88
11,100009,SKU-BL7AMKOH10,1,761.9,761.9
12,100982,SKU-2M0W10LBT3,2,442.01,884.02
13,100043,SKU-HH5LF6A4FE,3,781.97,2345.91
14,100762,SKU-ET0DY571VX,4,217.56,870.24
15,100385,SKU-X4W6XLPU0D,1,261.32,261.32
16,100738,SKU-YHETKDUWTN,5,235.73,1178.65
17,100909,SKU-BYGHGK5BWI,5,93.42,467.1
18,100760,SKU-JIPNF8F3GR,3,1902.35,5707.05
19,100494,SKU-43C5BA75UU,3,1730.15,5190.45
20,100492,SKU-V0DSZRK6IL,4,1693.08,6772.32
21,100168,SKU-ZHWJR64DPJ,3,1492.9,4478.7
22,100641,SKU-ZSA7YVDQBS,1,256.93,256.93
23,100530,SKU-A1WJ0TPAC5,1,1979.39,1979.39
24,100335,SKU-ZOWLC33H8G,1,1065.83,1065.83
25,100746,SKU-N89LTAJW25,4,383.42,1533.68
26,100856,SKU-ZHG8Q3GCG1,4,417.11,1668.44
27,100512,SKU-HQMABSI9NB,3,289.86,869.58
28,100129,SKU-N9DL5TGSQ7,4,1314.52,5258.08
29,100538,SKU-8W2MAIETDN,1,1182.27,1182.27
30,100513,SKU-QQB9LZS34J,2,1302.21,2604.42
31,100249,SKU-SXLMT2PNJK,1,1903.76,1903.76
32,100733,SKU-N6937XNCML,2,1840.23,3680.46
33,100946,SKU-AJSSUUQO1V,3,248.81,746.43
34,100137,SKU-38DALY8OZC,5,532.8,2664.0
35,100274,SKU-TI221XJ7WW,4,759.44,3037.76
36,100463,SKU-Z8UUG95RLR,4,461.63,1846.52
37,100140,SKU-5OL5U7NTED,1,1619.14,1619.14
38,100943,SKU-2WSPOFV177,1,1521.8,1521.8
39,100255,SKU-GRF1HX6ZDC,2,1044.08,2088.16
40,100881,SKU-JJA26YFPMV,4,1799.66,7198.64
41,100823,SKU-IZASNWYWRR,3,1227.87,3683.61
42,100455,SKU-J7DPFSSBJD,1,1838.6,1838.6
43,100951,SKU-BG34IQ7ZJ3,4,199.82,799.28
44,100433,SKU-8DS03VNA31,5,1998.79,9993.95
45,100606,SKU-2OOUXQS1FO,2,1796.5,3593.0
46,100172,SKU-XVA1NKBTFS,1,1270.33,1270.33
47,100472,SKU-5PY6B2KNFT,1,1516.4,1516.4
48,100954,SKU-N9WSZV83XP,3,406.64,1219.92
49,100422,SKU-J5SXVWVM4W,1,1885.28,1885.28
50,100916,SKU-8S2XQUZS9M,4,120.65,482.6
51,100438,SKU-TVMK2ZYZSI,4,283.09,1132.36
52,100056,SKU-PNSM43D8W3,4,1349.0,5396.0
53,100497,SKU-493WXA73JG,5,993.9,4969.5
54,100613,SKU-E7PKWCYUKN,5,1428.6,7143.0
55,100168,SKU-ZQY72WX7PT,1,571.65,571.65
56,100988,SKU-LP81L51FLM,5,1916.47,9582.35
57,100581,SKU-ZKW3GI60Q6,5,1542.88,7714.4
58,100849,SKU-2NBFA37DL9,3,1385.21,4155.63
59,100560,SKU-OR7875AUD9,5,978.78,4893.9
60,100427,SKU-P7R93FEZEZ,2,1077.55,2155.1
61,100418,SKU-94SGFDK0Q0,2,1360.26,2720.52
62,100346,SKU-NCBEKGV1BB,2,1691.5,3383.0
63,100516,SKU-IM458AX40D,1,1023.54,1023.54
64,100454,SKU-XMXB9YO18P,4,1635.03,6540.12
65,100713,SKU-EYUHZ1GV0E,3,1410.8,4232.4
66,100201,SKU-IXZAREIYAZ,1,61.03,61.03
67,100178,SKU-XPJ4HNRIUU,4,1851.57,7406.28
68,100056,SKU-GUWJP0QI2C,3,1619.31,4857.93
69,100697,SKU-G1ZHQUNUE7,3,1964.29,5892.87
70,100603,SKU-RJ5XFEUB4O,3,482.44,1447.32
71,100803,SKU-AYYOV84FC3,2,883.66,1767.32
72,100905,SKU-SXLMT2PNJK,2,1903.76,3807.52
73,100945,SKU-MMXIXV6CKM,2,810.96,1621.92
74,100994,SKU-8ADF7PCHCB,3,66.61,199.83
75,100500,SKU-ZGE2J51B3J,3,405.29,1215.87
76,100738,SKU-PPBMQIYFRW,2,861.56,1723.12
77,100932,SKU-VS41LQFS6H,3,462.45,1387.35
78,100111,SKU-N89LTAJW25,2,383.42,766.84
79,100147,SKU-97PWDBOLWI,2,500.85,1001.7
80,100780,SKU-8BIXOIQ2Q4,2,622.7,1245.4
81,100714,SKU-DZX5QJICJD,4,1016.5,4066.0
82,100377,SKU-RJ5XFEUB4O,3,482.44,1447.32
83,100876,SKU-P6BEFFLZM7,1,1100.75,1100.75
84,100914,SKU-S52SQ3B9SO,2,1057.52,2115.04
85,100347,SKU-ZG92SJP753,1,370.36,370.36
86,100357,SKU-G3XG0TRKY8,4,1360.53,5442.12
87,100055,SKU-M72QLGDVC2,3,758.5,2275.5
88,100812,SKU-NTBZ3M55IZ,2,375.79,751.58
89,100315,SKU-8KSZBFFZZD,2,575.14,1150.28
90,100963,SKU-P6NLNQBU4K,2,477.45,954.9
91,100184,SKU-CN0EQWMI6K,1,130.42,130.42
92,100053,SKU-EREV361XSN,4,1102.3,4409.2
93,100036,SKU-J4PNJY1O2R,3,269.34,808.02
94,100722,SKU-0982N2ATQY,4,1770.29,7081.16
95,100804,SKU-PUU62RZV1S,2,1662.79,3325.58
96,100269,SKU-M5V2WWG84D,4,212.37,849.48
97,100862,SKU-YHETKDUWTN,1,235.73,235.73
98,100731,SKU-QQB9LZS34J,5,1302.21,6511.05
99,100507,SKU-QERXDOUADV,5,1745.77,8728.85
100,100227,SKU-3NWXROG983,3,1471.83,4415.49
101,100427,SKU-NOG85D4F2K,3,1028.35,3085.05
102,100869,SKU-C6LBPJ8T22,4,1332.57,5330.28
103,100722,SKU-SKP6RFE64S,3,1069.35,3208.05
104,100809,SKU-YH523GGODL,1,85.32,85.32
105,100000,SKU-NFFYKPL3CH,2,278.17,556.34
106,100022,SKU-2292MTR6SN,2,1139.93,2279.86
107,100502,SKU-NRXD356WAF,4,36.3,145.2
108,100447,SKU-ZIRNK6ZHH3,2,1770.5,3541.0
109,100795,SKU-XUX1OXRWK8,4,1277.91,5111.64
110,100495,SKU-ZUJ2XORVOR,3,448.08,1344.24
111,100899,SKU-3D6M1FMPRY,3,1895.09,5685.27
112,100424,SKU-91F4X2BFIB,1,1894.53,1894.53
113,100699,SKU-O75RH8LX6D,2,567.59,1135.18
114,100017,SKU-RMWLMA6GMD,1,697.83,697.83
115,100958,SKU-UJQ6FX7XJZ,5,574.58,2872.9
116,100444,SKU-QLGZUI1B0Z,1,1038.95,1038.95
117,100560,SKU-FTOUHYLU6K,4,582.03,2328.12
