Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints
9329eb41e215eb,676b23c24e70d6,45b576ab7daa7f,0,0,51.4600,0,0,0,73,0,0,0,0.0000,1884,squad-fpp,28,28,1500,0,0.0000,0,0.0000,0,0,588.0000,1,0
639bd0dcd7bda8,430933124148dd,42a9a0b906c928,0,4,179.1000,0,0,2,11,0,2,1,361.9000,1811,duo-fpp,48,47,1503,2,4669.0000,0,0.0000,0,0,2017.0000,6,0
63d5c8ef8dfe91,0b45f5db20ba99,87e7e4477a048e,1,0,23.4000,0,0,4,49,0,0,0,0.0000,1793,squad-fpp,28,27,1565,0,0.0000,0,0.0000,0,0,787.8000,4,0
cf5b81422591d1,b7497dbdc77f4a,1b9a94f1af67f1,0,0,65.5200,0,0,0,54,0,0,0,0.0000,1834,duo-fpp,45,44,1465,0,0.0000,0,0.0000,0,0,1812.0000,3,0
ee6a295187ba21,6604ce20a1d230,40754a93016066,0,4,330.2000,1,2,1,7,0,3,1,60.0600,1326,squad-fpp,28,27,1480,1,0.0000,0,0.0000,0,0,2963.0000,4,0
3e2539b5d78183,029b5a79e08cd6,10186f5c852f62,0,0,0.0000,0,0,0,89,0,0,0,0.0000,1775,squad-fpp,29,29,1490,0,0.0000,0,0.0000,0,0,0.0000,0,0
d812d2f1d88a02,6285bb4eec83e4,f185809740a1a7,0,3,470.7000,3,2,17,3,0,5,1,57.6100,1328,duo-fpp,49,48,1538,0,0.0000,0,0.0000,0,0,1000.0000,4,0
a8a377e4d43bf8,61ec2e7730a3b8,d31adc82a4930e,0,0,68.6100,0,0,0,73,0,0,0,0.0000,1870,squad-fpp,29,27,1487,0,0.0000,0,0.0000,0,0,1217.0000,5,0
f18301e30d47d3,e7d609e08f09b6,bcde504ef16743,0,0,0.0000,0,0,0,56,0,0,0,0.0000,1815,squad-fpp,28,27,1640,0,2355.0000,0,0.0000,0,0,1390.0000,7,0
ec7b965ef978b3,c4c19ef6d6c6d9,6dc5b34c92d5ff,0,0,67.3200,0,0,0,54,1023,0,0,0.0000,1336,squad-fpp,27,27,-1,0,0.0000,0,0.0000,0,0,1634.0000,5,1495
29da9623f0e316,6a47335104d64e,ed3e886148b4e2,1,2,140.2000,0,0,0,33,0,1,1,4.7260,2066,duo-fpp,47,46,1669,0,0.0000,0,0.0000,0,0,193.1000,5,0
9a7777f1868aba,e7de3c00dd513f,d29026562c5e4b,0,0,0.0000,0,0,0,70,0,0,0,0.0000,1874,squad-fpp,27,26,1500,1,0.0000,0,0.0000,0,0,1127.0000,5,0
aeded11e3d6daa,446f74d14b1bf0,44264bac497867,1,0,206.8000,1,1,0,6,0,3,2,79.8300,1381,squad-fpp,27,27,1490,1,0.0000,0,0.0000,1,0,2971.0000,6,0
2f42b452cf99f7,b0722175ef82c0,7b792d8dfba966,0,5,100.1000,1,1,6,26,1420,1,1,12.5500,1956,duo-fpp,49,48,-1,0,5780.0000,0,0.0000,0,0,1454.0000,5,1538
8ee93e13e67ae9,c9995bee19eff1,7cc3b0fefc45ed,0,0,0.0000,0,0,0,63,1000,0,0,0.0000,1901,duo-fpp,47,46,-1,0,0.0000,0,0.0000,0,0,95.1500,2,1500
8e3d9efdb90cdc,6b059c63e2813f,2d176611d9957e,0,2,33.2600,0,0,0,53,1260,0,0,0.0000,1454,squad,29,27,-1,0,0.0000,0,49.9600,0,0,2183.0000,7,1478
8b20f5b3995b98,9b35d114c5d01f,fe5c61971b81ce,1,0,301.0000,3,1,0,5,1199,4,1,28.5700,1378,squad-fpp,27,25,-1,2,0.0000,0,0.0000,0,0,300.2000,2,1548
bdc658de5cc405,e06806c807eff7,dfdd598fcdf039,0,0,0.0000,0,0,0,81,1300,0,0,0.0000,1443,squad-fpp,28,28,-1,0,0.0000,0,0.0000,0,0,29.5900,1,1572
d9463ae2916efb,1a82592206097e,0bc0f1bbb300e8,0,1,100.0000,1,0,1,80,1092,0,0,0.0000,1334,duo-fpp,50,48,-1,0,0.0000,0,0.0000,0,0,164.7000,2,1517
60051fc7ae4b95,c4f819464f6c40,622b21e799e993,0,0,200.0000,2,1,0,20,1118,2,1,23.3300,1372,squad-fpp,30,27,-1,0,0.0000,0,0.0000,0,0,255.6000,5,1509
8a706bc525a3cb,22d1e4cd6d6a62,08f83a93dbd231,0,1,25.8000,0,0,0,44,0,0,0,0.0000,1977,duo-fpp,48,45,1547,0,7481.0000,0,0.0000,0,0,2168.0000,1,0
37ae98f31ca542,92469c1c2cb06a,307f17f1adddf5,0,0,0.0000,0,0,0,53,1075,0,0,0.0000,1380,solo-fpp,97,95,-1,0,0.0000,0,4.8940,0,0,0.0000,0,1490
c079e5a4fe3f99,6b78654b576810,b1c019e7a68e2e,0,1,0.0000,0,0,5,67,0,0,0,0.0000,1889,squad-fpp,29,29,1494,0,0.0000,0,0.0000,1,0,1607.0000,7,0
2baff8414fa43b,5f5cb59f2152a3,f44031f6ab6ddc,0,0,0.0000,0,0,0,75,1287,0,0,0.0000,1444,squad-fpp,31,31,-1,0,0.0000,0,0.0000,0,0,62.2200,1,1540
6b4d4dda1759ba,60264c62cd0925,e15aac7959de24,1,4,466.4000,1,0,5,8,0,3,2,39.5400,1878,squad-fpp,29,28,1449,2,246.7000,0,0.0000,0,0,3626.0000,9,0
55b6cdc2e0c8c5,16340424ea46d4,ca1526661cb971,0,0,21.6000,0,0,0,93,0,0,0,0.0000,1862,squad-fpp,29,24,1509,0,0.0000,0,0.0000,0,0,2.7300,0,0
ff5e84a850fe69,8627e8ad6e9ef0,8d938011ca3c4b,1,1,192.3000,1,0,1,18,1432,2,1,23.0400,1383,squad-fpp,29,29,-1,1,0.0000,0,0.0000,0,0,1468.0000,8,1517
3465bb382be8b5,18dea6411eb317,caaf5c919a5766,0,0,0.0000,0,0,0,86,0,0,0,0.0000,1349,squad-fpp,27,25,1548,0,0.0000,0,0.0000,0,0,18.7900,3,0
e3fd035717a771,983db24380dbc1,6c45522426cc51,0,0,0.0000,0,0,0,59,0,0,0,0.0000,1875,squad-fpp,29,25,1505,0,0.0000,0,0.0000,0,0,332.5000,5,0
