reading_id,device_id,timestamp,temperature_c,humidity_pct,battery_v
1,DEV-JBBSXP,2025-08-25 08:54:45,16.8,54.16,3.42
2,DEV-8OBS75,2025-01-27 16:41:58,20.87,61.29,3.66
3,DEV-Z6V7S7,2025-04-29 06:04:23,26.48,51.78,3.62
4,DEV-86Z1B9,2025-07-30 07:14:58,23.32,38.42,3.76
5,DEV-00CDNZ,2025-04-10 12:50:20,24.33,28.14,3.47
6,DEV-S3KDZ4,2025-01-03 04:14:55,20.82,30.26,4.0
7,DEV-L88L12,2025-10-21 10:42:35,18.52,35.97,3.55
8,DEV-B1ZPPE,2025-11-26 07:10:21,26.54,54.51,3.91
9,DEV-EJKLCP,2025-11-25 11:46:12,22.52,43.79,3.82
10,DEV-2HNC0I,2025-01-17 06:03:53,20.08,18.01,3.74
11,DEV-PA8JX5,2025-04-16 14:59:50,23.37,49.8,3.75
12,DEV-VMB0ID,2025-08-18 02:22:29,21.58,63.34,3.33
13,DEV-4HC7JV,2025-10-31 10:58:18,28.2,21.33,3.6
14,DEV-S2SUMH,2025-06-26 05:41:59,20.58,53.25,4.2
15,DEV-4PEGJK,2025-03-25 13:09:36,23.79,13.33,3.74
16,DEV-P5K791,2025-09-20 13:29:07,26.35,31.86,3.78
17,DEV-3ET1OV,2025-07-15 00:52:21,24.62,25.74,3.32
18,DEV-LST548,2025-09-06 03:04:28,24.17,55.27,3.65
19,DEV-PPJ590,2025-05-29 14:55:05,19.97,69.97,3.63
20,DEV-CWCDT9,2025-07-25 03:57:36,22.47,60.93,3.55
21,DEV-QNRMTN,2025-03-22 17:42:01,23.85,60.42,3.81
22,DEV-P04SBR,2025-07-08 09:09:24,22.68,31.03,3.61
23,DEV-4X6G1E,2025-07-25 01:37:10,27.93,53.74,3.56
24,DEV-V1M3PP,2025-11-04 04:24:28,21.34,48.59,3.41
25,DEV-P5K791,2025-09-26 01:51:19,22.13,27.37,3.48
26,DEV-1KJWV2,2025-10-17 17:47:41,32.33,61.14,3.5
27,DEV-UNQR8O,2025-12-27 03:15:22,25.32,51.51,3.63
28,DEV-3B0N9C,2025-10-27 17:56:18,18.13,41.72,3.6
29,DEV-W5APMX,2025-09-12 23:54:05,23.99,57.32,3.57
30,DEV-9UW165,2025-01-08 03:53:09,25.17,47.22,3.36
31,DEV-S3KDZ4,2025-04-24 15:28:21,18.8,63.02,3.5
32,DEV-TGMALW,2025-01-05 04:08:39,20.8,73.32,3.73
33,DEV-WLVA02,2025-12-08 11:28:26,17.23,40.81,3.99
34,DEV-87H91E,2025-03-14 03:03:56,23.17,40.65,4.02
35,DEV-X5FL2M,2025-12-14 05:49:59,15.51,37.64,4.1
36,DEV-S32D1J,2025-05-01 16:16:22,18.85,45.26,3.75
37,DEV-MOWNX2,2025-10-29 11:32:23,16.47,65.26,3.69
38,DEV-5YRG29,2025-08-22 18:40:44,23.31,29.09,3.83
39,DEV-J7VBJR,2025-03-07 15:09:20,20.65,24.44,3.63
40,DEV-V1M3PP,2025-08-18 19:58:33,23.59,48.54,3.86
41,DEV-VMB0ID,2025-01-31 06:19:48,14.66,44.44,3.67
42,DEV-9ZXQER,2025-11-03 22:10:05,18.87,47.9,3.76
43,DEV-7Z4ES3,2025-10-24 16:40:48,25.16,15.65,3.55
44,DEV-84Z4UR,2025-02-20 05:53:41,17.4,68.12,3.89
45,DEV-Q4KREG,2025-05-27 08:49:17,26.09,48.08,3.5
46,DEV-87H91E,2025-04-05 16:25:15,21.39,81.7,3.57
47,DEV-P04SBR,2025-11-25 13:24:35,18.65,51.2,3.63
48,DEV-4DH9UG,2025-02-07 23:13:25,18.91,38.98,3.53
49,DEV-D2FF5L,2025-07-17 06:45:24,22.86,48.82,3.81
50,DEV-VMB0ID,2025-08-29 14:39:13,30.78,67.19,3.73
51,DEV-513BB6,2025-06-22 07:58:54,32.87,34.19,3.5
52,DEV-J7VBJR,2025-09-13 14:03:25,16.66,53.77,3.6
53,DEV-D2FF5L,2025-02-10 05:26:30,24.69,51.57,3.73
54,DEV-4PEGJK,2025-05-09 06:24:56,28.67,53.91,3.74
55,DEV-579WRR,2025-02-23 14:29:02,17.02,31.37,3.51
56,DEV-CIHDIY,2025-03-27 12:01:01,19.5,54.56,3.7
57,DEV-HZYJB4,2025-07-31 21:23:06,23.16,53.43,3.82
58,DEV-7Z4ES3,2025-09-26 15:44:58,22.16,68.5,3.64
59,DEV-F05EP4,2025-10-23 14:01:42,16.46,71.59,3.49
60,DEV-PA8JX5,2025-01-21 13:19:44,24.99,50.59,3.97
61,DEV-QNRMTN,2025-08-03 15:41:30,23.74,48.44,3.83
62,DEV-3T4Y0T,2025-07-08 10:36:42,25.77,30.59,3.62
63,DEV-F309HS,2025-06-10 17:04:05,24.13,42.05,3.72
64,DEV-Q4KREG,2025-07-20 23:51:09,24.11,38.16,3.63
65,DEV-R0UI1J,2025-01-29 23:06:39,22.12,59.64,3.5
66,DEV-4NRMQY,2025-09-01 13:52:52,26.83,49.61,3.84
67,DEV-1L1VJ3,2025-07-02 02:38:55,16.69,30.27,4.03
68,DEV-HZ72KX,2025-02-01 10:48:07,17.61,32.37,3.88
69,DEV-A28DIT,2025-09-24 05:11:19,26.39,83.28,3.75
70,DEV-7XFH41,2025-02-05 18:54:56,20.87,38.57,3.64
