ticket_id,customer_id,created_at,priority,status,category,sla_hours
TKT-000001,133,2024-08-13 09:00:00,High,Resolved,Account,24
TKT-000002,197,2024-07-23 20:50:00,Low,In Progress,Shipping,120
TKT-000003,910,2025-01-19 20:36:00,Low,Resolved,Account,96
TKT-000004,347,2024-12-17 15:29:00,Medium,Resolved,Returns,48
TKT-000005,49,2025-12-01 11:38:00,Medium,Open,Shipping,48
TKT-000006,64,2024-09-05 01:52:00,Medium,In Progress,Returns,96
TKT-000007,624,2024-07-19 06:12:00,Low,Resolved,Billing,48
TKT-000008,868,2025-11-04 04:58:00,Medium,Resolved,Returns,48
TKT-000009,697,2024-07-10 17:22:00,Medium,Resolved,Account,24
TKT-000010,104,2024-10-31 12:55:00,High,Resolved,Billing,72
TKT-000011,931,2024-09-14 11:10:00,High,Open,Billing,96
TKT-000012,213,2025-12-05 00:10:00,Low,Resolved,Technical,96
TKT-000013,517,2024-12-28 00:07:00,High,In Progress,Account,48
TKT-000014,119,2024-12-19 19:36:00,Low,Resolved,Account,72
TKT-000015,856,2025-08-07 19:18:00,High,In Progress,Shipping,72
TKT-000016,761,2025-12-17 23:16:00,Medium,Resolved,Returns,24
TKT-000017,679,2024-10-25 07:40:00,Medium,Resolved,Returns,24
TKT-000018,895,2025-10-12 20:58:00,Medium,Resolved,Account,120
TKT-000019,242,2025-03-09 04:14:00,Low,Closed,Returns,48
TKT-000020,280,2025-04-06 09:45:00,Low,Open,Account,48
TKT-000021,424,2024-07-21 22:31:00,Low,In Progress,Billing,48
TKT-000022,363,2025-10-08 06:01:00,High,In Progress,Returns,120
TKT-000023,750,2025-07-14 23:17:00,Medium,Closed,Returns,72
TKT-000024,306,2025-02-28 16:42:00,Low,Open,Account,72
TKT-000025,717,2025-09-01 13:07:00,High,In Progress,Account,48
TKT-000026,486,2024-09-28 03:28:00,Low,Closed,Shipping,72
TKT-000027,314,2024-07-16 04:26:00,High,Closed,Returns,72
TKT-000028,513,2025-01-29 10:55:00,Medium,Closed,Technical,96
TKT-000029,683,2025-04-07 16:36:00,Medium,In Progress,Account,48
TKT-000030,167,2025-12-14 09:13:00,Low,Resolved,Technical,48
TKT-000031,394,2025-04-27 12:15:00,High,Resolved,Billing,96
TKT-000032,770,2024-06-11 07:00:00,Low,Resolved,Billing,72
TKT-000033,63,2025-07-29 05:07:00,Low,Open,Technical,24
TKT-000034,272,2024-07-18 02:16:00,Medium,Resolved,Billing,48
TKT-000035,37,2025-06-12 03:14:00,High,In Progress,Technical,120
TKT-000036,16,2025-12-20 18:38:00,Low,In Progress,Shipping,48
